resume_index,job_index,resume_id,job_id,tfidf_cosine,resume_len,job_len,resume_num_skills,job_num_skills,shared_skills_count,shared_skills_ratio,resume_word_count,resume_char_count,resume_sentence_count,job_word_count,job_char_count,job_sentence_count,fuzzy_skill_score,resume_years_experience,resume_education_level,resume_level,resume_experienced_flag,resume_remote_flag,job_years_experience,job_education_level,job_level,job_experienced_flag,job_remote_flag,job_mentor_req_flag,education_level_match,experience_level_match,years_experience_match,keyword_overlap_score,embedding_cosine,label,skill_experience_interaction,similarity_skill_interaction,remote_compatibility
0,0,16852973,job_0,0.0036975200425982888,666,40,0,0,0,0.0,666,5000,27,40,209,6,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.20778816938400269,1,0.0,0.0036975200425982888,1.0
0,1,16852973,job_1,0.0036975200425982888,666,56,0,0,0,0.0,666,5000,27,56,293,8,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.17164798080921173,0,0.0,0.0036975200425982888,1.0
0,2,16852973,job_2,0.0036975200425982888,666,64,0,0,0,0.0,666,5000,27,64,335,9,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.16280226409435272,0,0.0,0.0036975200425982888,1.0
0,3,16852973,job_3,0.0036975200425982888,666,48,0,0,0,0.0,666,5000,27,48,251,7,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.18880635499954224,0,0.0,0.0036975200425982888,1.0
0,4,16852973,job_4,0.0036975200425982888,666,80,0,0,0,0.0,666,5000,27,80,419,11,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.15903985500335693,0,0.0,0.0036975200425982888,1.0
0,5,16852973,job_5,0.0036975200425982888,666,72,0,0,0,0.0,666,5000,27,72,377,10,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.16020798683166504,0,0.0,0.0036975200425982888,1.0
1,0,22323967,job_0,0.011406539213509531,704,40,0,0,0,0.0,704,5144,27,40,209,6,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.2755034267902374,1,0.0,0.011406539213509531,1.0
1,1,22323967,job_1,0.011406539213509531,704,56,0,0,0,0.0,704,5144,27,56,293,8,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.235172301530838,1,0.0,0.011406539213509531,1.0
1,2,22323967,job_2,0.011406539213509531,704,64,0,0,0,0.0,704,5144,27,64,335,9,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.22512298822402954,1,0.0,0.011406539213509531,1.0
1,3,22323967,job_3,0.011406539213509531,704,48,0,0,0,0.0,704,5144,27,48,251,7,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.252767413854599,1,0.0,0.011406539213509531,1.0
1,4,22323967,job_4,0.011406539213509531,704,80,0,0,0,0.0,704,5144,27,80,419,11,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.21244508028030396,1,0.0,0.011406539213509531,1.0
1,5,22323967,job_5,0.011406539213509531,704,72,0,0,0,0.0,704,5144,27,72,377,10,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.21781176328659058,1,0.0,0.011406539213509531,1.0
2,0,33176873,job_0,0.026225226607113516,1036,40,0,0,0,0.0,1036,7322,41,40,209,6,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.28937768936157227,1,0.0,0.026225226607113516,1.0
2,1,33176873,job_1,0.026225226607113516,1036,56,0,0,0,0.0,1036,7322,41,56,293,8,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.2501952648162842,1,0.0,0.026225226607113516,1.0
2,2,33176873,job_2,0.026225226607113516,1036,64,0,0,0,0.0,1036,7322,41,64,335,9,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.2407051920890808,1,0.0,0.026225226607113516,1.0
2,3,33176873,job_3,0.026225226607113516,1036,48,0,0,0,0.0,1036,7322,41,48,251,7,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.2678694427013397,1,0.0,0.026225226607113516,1.0
2,4,33176873,job_4,0.026225226607113516,1036,80,0,0,0,0.0,1036,7322,41,80,419,11,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.23639130592346191,1,0.0,0.026225226607113516,1.0
2,5,33176873,job_5,0.026225226607113516,1036,72,0,0,0,0.0,1036,7322,41,72,377,10,0.0,20,master,senior,1,0,0,,,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.23753927648067474,1,0.0,0.026225226607113516,1.0
3,0,27018550,job_0,0.006858787506312735,377,40,0,0,0,0.0,377,2642,17,40,209,6,0.0,20,,,0,0,0,,,0,0,0,0.5,0.5,1.0,0.0,0.264656126499176,1,0.0,0.006858787506312735,1.0
3,1,27018550,job_1,0.006858787506312735,377,56,0,0,0,0.0,377,2642,17,56,293,8,0.0,20,,,0,0,0,,,0,0,0,0.5,0.5,1.0,0.0,0.23010608553886414,1,0.0,0.006858787506312735,1.0
